Charity_ID,Charity_Name,EIN,Street_Address,Telephone,Fax,Overall_Rating,Financial_Rating,Transparency_Rating,Program_Expenses,Administrative_Expenses,Fundraising_Expenses,Fundraising_Efficiency,Revenue_Growth,Expenses_Growth,Working_Capital_Ratio,Core_Service,Tagline,Website,Scraped_From
6466,"10,000 Degrees - CA",95-3667812,"['1650 Los Gamos Drive', 'Suite 110 San Rafael, CA 94903']",(415) 459-4240,(415) 459-0527,92.62,92.27,93.00, 76.3%,  8.6%, 14.9%,$0.14,  7.6%, 19.5%,1.10,Education : Scholarship and Financial Support,Creating College Graduates Who Change the World,http://www.10000degrees.org/,https://web.archive.org/web/20160705164956/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6466
12098,"100 Black Men of America, Inc. - GA",58-1974429,"['141 Auburn Avenue', 'Atlanta, GA 30303']",(404) 688-5100,(404) 522-5652,78.53,84.32,74.00, 78.9%, 16.2%,  4.8%,$0.03,  9.8%,  -1.6%,0.54,"Human Services : Youth Development, Shelter, and Crisis Services",Improving the quality of life within our communities,http://www.100blackmen.org/,https://web.archive.org/web/20160705164956/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12098
12123,100 Club of Arizona - AZ,23-7172077,"['333 North 44th Street', 'Suite 100 Phoenix,', 'AZ 85015']",(602) 485-0100,(602) 242-1715,95.47,95.00,96.00, 89.1%,  9.1%,  1.6%,< $0.01,0.49, 12.8%, 11.0%,Human Services : Multipurpose Human Service Organizations ,Supporting families of public safety,http://www.100club.org/,https://web.archive.org/web/20160705164956/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12123
10092,1000 Friends of Florida - FL,59-2761163,"['308 North Monroe Street', 'Tallahassee, FL 32301']",(850) 222-6277,(850) 222-1117,88.62,83.91,100.00, 89.1%,  6.4%,  4.4%,$0.07,  -0.2%,  1.1%,0.87,Environment : Environmental Protection and Conservation,Building Better Communities and Saving Special Places,http://www.1000fof.org/,https://web.archive.org/web/20160705164956/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10092
8770,1000 Friends of Oregon - OR,93-0642086,"['133 SW 2nd Ave', 'Suite 201 Portland, OR 97204']",(503) 497-1000,(503) 223-0073,64.26,56.66,74.00, 66.6%, 11.8%, 21.5%,$0.27, -12.1%, -10.9%,0.12,Environment : Environmental Protection and Conservation,Working with Oregonians to enhance our quality of life,http://www.friends.org/,https://web.archive.org/web/20160705164956/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8770
15235,24 Hours of Booty - NC,20-3768277,"['801 East Morehead Street', 'Suite 308 Charlotte, NC 28202']",(877) 365-4417,(704) 365-4418,87.26,85.74,89.00, 82.4%,  6.9%, 10.5%,$0.11, 16.4%, 10.6%,0.14,Community Development : Fundraising,A movement to fund cancer survivorship and navigation programs,http://www.24hoursofbooty.org/,https://web.archive.org/web/20160705093237/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15235
16289,350.org - NY,26-1150699,"['20 Jay Street', 'Suite 732 Brooklyn, NY 11201']",(802) 552-4067,,91.36,90.00,93.00, 88.6%,  9.1%,  2.1%,$0.02, 57.3%,0.32, 31.9%,Environment : Environmental Protection and Conservation ,We're Building A Global Climate Movement,http://350.org/,https://web.archive.org/web/20160604114031/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16289
13055,4 Paws for Ability  - OH,31-1625484,"['207 Dayton Avenue', 'Xenia, OH 45385']",(937) 374-0385,,98.96,98.53,100.00, 85.3%,  6.4%,  8.1%,$0.06, 12.5%, 16.9%,1.33,Human Services : Social Services,Providing service dogs to children worldwide,http://www.4pawsforability.org/,https://web.archive.org/web/20160629134620/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13055
13546,The 52nd Street Project - NY,13-3467948,"['789 Tenth Avenue', 'New York, NY 10019']",(212) 333-5252,,83.93,80.12,89.00, 76.2%, 12.8%, 10.8%,$0.21, -16.5%, 16.7%,10.05,"Human Services : Youth Development, Shelter, and Crisis Services",Bringing together kids with theater professionals to create original theater.,http://www.52project.org/,https://web.archive.org/web/20160705165611/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13546
4792,The 92nd Street Y - NY,13-1624229,"['1395 Lexington Avenue', 'New York, NY 10128']",(212) 415-5678,(212) 415-5671,87.28,83.43,93.00, 87.1%,  9.6%,  3.2%,$0.07,  1.4%,0.16, 22.7%,Human Services : Multipurpose Human Service Organizations,Enriching the lives of the people who pass through its doors,http://www.92y.org/,https://web.archive.org/web/20160705165003/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4792
14961,9to5 National Association of Working Women - WI,34-1246311,"['207 East Buffalo Street', 'Suite 211 Milwaukee, WI 53202']",(414) 274-0925,(414) 272-2870,79.06,72.52,89.00, 75.5%, 18.1%,  6.2%,$0.07,  -7.6%, -10.3%,0.69,Human and Civil Rights : Advocacy and Education,Winning Justice for Working Women,http://9to5.org/,https://web.archive.org/web/20160705165003/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14961
16012,'Aha Pūnana Leo - HI,99-0226111,"[""96 Pu'uhonu Place"", 'Hilo, HI 96720']",(800) 498-4979,(808) 969-7512,86.44,86.90,86.00, 80.8%, 17.8%,  1.3%,< $0.01,  0.6%,2.26,  1.9%,Education : Early Childhood Programs and Services,The Hawaiian Language Shall Live,http://www.ahapunanaleo.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16012
6082,A Better Chance - NY,23-7173492,"['253 West 35th Street', '6th Floor New York, NY 10001']",(646) 346-1310,(646) 346-1311,83.13,76.15,100.00, 65.7%,  9.9%, 24.2%,$0.24,  9.2%,0.79, 12.0%,Education : Youth Education Programs and Services ,Opening the door to greater educational opportunities since 1963,http://www.abetterchance.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6082
15907,A Chance to Change Foundation - OK,73-1116884,"['5228 Classen Circle', 'Oklahoma City, OK 73118']",(405) 840-9000,,78.98,87.58,73.00, 83.8%,  6.5%,  9.5%,$0.16,  4.4%,0.63, 20.7%,Health : Treatment and Prevention Services,Healing for Individuals and Their Families,http://www.achancetochange.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15907
15368,A Child's Place - NC,58-1911741,"['601 East Fifth Street', 'Suite 230 Charlotte, NC 28202']",(704) 343-3790,(704) 343-3791,90.69,87.46,96.00, 81.6%,  4.8%, 13.5%,$0.14,  9.5%, 18.9%,0.30,Education : Youth Education Programs and Services,Working to erase the impact of homelessness on children and their education,http://www.achildsplace.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15368
3634,A Contemporary Theatre - WA,91-0787792,"['Kreielsheimer Place', '700 Union Street Seattle, WA 98101']",(206) 292-7660,(206) 292-7670,75.36,66.09,92.00, 76.4%, 14.7%,  8.7%,$0.20,  0.5%,< 0.01,332.2%,"Arts, Culture, Humanities : Performing Arts ",In your life. In our name. And on our stage.,http://www.acttheatre.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3634
16302,A Jewish Voice for Peace - CA,90-0018359,"['1611 Telegraph Avenue', 'Suite 1020 Oakland, CA 94612']",(510) 465-1777,(510) 465-1616,83.30,79.11,89.00, 64.4%, 14.7%, 20.8%,$0.18, 20.3%,0.70,  7.3%,"International : International Peace, Security, and Affairs ","Opposing anti-Jewish, anti-Muslim, and anti-Arab bigotry and oppression",https://jewishvoiceforpeace.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16302
9239,A Kid Again - OH,31-1440073,"['777-G Dearborn Park Lane', 'Columbus, OH 43085']",(800) 543-9735,(614) 797-9600,89.02,85.00,96.00, 89.8%,  2.5%,  7.5%,$0.11,  -0.4%,0.75,  1.7%,Health : Patient and Family Support ,Giving illness a GIANT Time Out!,http://www.akidagain.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9239
15719,A Kids' Brain Tumor Cure - NY,26-0295572,"['98 Random Farms Drive', 'Chappaqua, NY 10514']",(914) 762-3494,,81.07,86.32,77.00, 80.9%,  6.7%, 12.2%,$0.07, -19.7%,3.91,  0.1%,Health : Medical Research,"Funding Research, Finding Cures",http://akidsbraintumorcure.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15719
10176,A Noise Within - CA,95-4443878,"['3352 East Foothill Boulevard', 'Pasadena, CA 91107']",(626) 356-3100,(626) 356-3120,84.74,91.90,80.00, 82.9%,  6.4%, 10.5%,$0.21, 23.1%,6.19,  9.7%,"Arts, Culture, Humanities : Performing Arts ",California's home for the classics,http://www.anoisewithin.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10176
8040,A Place Called Home - CA,95-4427291,"['2830 South Central Avenue', 'Los Angeles, CA 90011']",(323) 232-7653,(323) 232-0139,94.72,92.54,100.00, 75.4%, 10.6%, 13.8%,$0.11, 19.5%, 13.5%,1.26,"Human Services : Youth Development, Shelter, and Crisis Services","A positive environment where young people develop tools and are empowered to have successful, fulfilling lives.",http://www.apch.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8040
